tiempo,theta(rad),theta(deg)
0.0000000000,0.7345944593,42.0891621738
0.0333333333,0.7235101978,41.4540807691
0.0666666667,0.6432596933,36.8560655572
0.1000000000,0.6221286442,35.6453456269
0.1333333333,0.5530708290,31.6886242712
0.1666666667,0.5013053508,28.7226808463
0.2000000000,0.4672892808,26.7737036040
0.2333333333,0.3666552622,21.0077990618
0.2666666667,0.3699564551,21.1969434828
0.3000000000,0.0808669014,4.6333321518
0.3333333333,-0.0240794072,-1.3796484070
0.3666666667,-0.1217024781,-6.9730383495
0.4000000000,-0.2224560545,-12.7457930513
0.4333333333,-0.3254406486,-18.6463756488
0.4666666667,-0.4288534913,-24.5714950794
0.5000000000,-0.4879237209,-27.9559699332
0.5333333333,-0.5178687092,-29.6716913774
0.5666666667,-0.5370344279,-30.7698061708
0.6000000000,-0.5442735296,-31.1845761440
0.6333333333,-0.5323906797,-30.5037389977
0.6666666667,-0.5006547458,-28.6854039298
0.7000000000,-0.4599091272,-26.3508519457
0.7333333333,-0.3905027138,-22.3741573907
0.7666666667,-0.2822924481,-16.1741658647
0.8000000000,-0.1698666548,-9.7326424005
0.8333333333,-0.0809326894,-4.6371015268
0.8666666667,0.0164487962,0.9424465995
0.9000000000,0.1311549818,7.5146269209
0.9333333333,0.2554571627,14.6366172682
0.9666666667,0.3583251434,20.5305184079
1.0000000000,0.4393064786,25.1704071384
1.0333333333,0.4934616135,28.2732678036
1.0666666667,0.5382023941,30.8367257080
1.1000000000,0.5919671384,33.9172186384
1.1333333333,0.5989375243,34.3165923332
1.1666666667,0.6078316866,34.8261902981
1.2000000000,0.5802137680,33.2438001218
1.2333333333,0.5262095934,30.1495888393
1.2666666667,0.4883733227,27.9817302162
1.3000000000,0.4296595781,24.6176804502
1.3333333333,0.3448358965,19.7576414951
1.3666666667,0.2351852162,13.4751202895
1.4000000000,0.1222350596,7.0035530228
1.4333333333,0.0061374783,0.3516516033
1.4666666667,-0.0813545470,-4.6612721853
1.5000000000,-0.1866311448,-10.6931769214
1.5333333333,-0.2793905681,-16.0079003877
1.5666666667,-0.3555435714,-20.3711460724
1.6000000000,-0.4245845726,-24.3269040570
1.6333333333,-0.4563577711,-26.1473742326
1.6666666667,-0.4769376621,-27.3265151298
1.7000000000,-0.4955578584,-28.3933737886
1.7333333333,-0.4826076611,-27.6513821398
1.7666666667,-0.4722983087,-27.0606997581
1.8000000000,-0.4280422946,-24.5250169310
1.8333333333,-0.3519390673,-20.1646232017
1.8666666667,-0.2632817715,-15.0849343299
1.9000000000,-0.1785507332,-10.2302034413
1.9333333333,-0.0508602181,-2.9140758404
1.9666666667,0.0326578309,1.8711558813
2.0000000000,0.1245108748,7.1339476280
2.0333333333,0.2527311751,14.4804296870
2.0666666667,0.3361460780,19.2597515673
2.1000000000,0.4175106835,23.9216000654
2.1333333333,0.4697618603,26.9153719708
2.1666666667,0.5437152245,31.1525876229
2.2000000000,0.5758268897,32.9924505127
2.2333333333,0.5707056319,32.6990240544
2.2666666667,0.5849559454,33.5155068747
2.3000000000,0.5571784096,31.9239713036
2.3333333333,0.5350963566,30.6587628679
2.3666666667,0.4839332640,27.7273335937
2.4000000000,0.4251426898,24.3588818147
2.4333333333,0.3357393980,19.2364505204
2.4666666667,0.2215568855,12.6942744599
2.5000000000,0.1453143843,8.3259009239
2.5333333333,0.0206059050,1.1806313871
2.5666666667,-0.0442530988,-2.5355157930
2.6000000000,-0.1467179399,-8.4063187326
2.6333333333,-0.2800175136,-16.0438217180
2.6666666667,-0.3365412496,-19.2823932362
2.7000000000,-0.3791646963,-21.7245368408
2.7333333333,-0.4604618568,-26.3825210239
2.7666666667,-0.4930639404,-28.2504828154
2.8000000000,-0.5163090575,-29.5823299179
2.8333333333,-0.4970237399,-28.4773626164
2.8666666667,-0.4748820829,-27.2087391181
2.9000000000,-0.4525902393,-25.9315105583
2.9333333333,-0.3777792676,-21.6451576221
2.9666666667,-0.2912220237,-16.6857928572
3.0000000000,-0.1981750639,-11.3545947678
3.0333333333,-0.0884937274,-5.0703170920
3.0666666667,0.0202505674,1.1602720467
3.1000000000,0.0811771491,4.6511080373
3.1333333333,0.2085486598,11.9489580296
3.1666666667,0.2771277700,15.8782516074
3.2000000000,0.3884486276,22.2564669182
3.2333333333,0.4543981297,26.0350950516
3.2666666667,0.5028360370,28.8103827053
3.3000000000,0.5332549676,30.5532590502
3.3333333333,0.5741963470,32.8990272934
3.3666666667,0.5706835027,32.6977561432
3.4000000000,0.5459094633,31.2783082412
3.4333333333,0.4983361802,28.5525599023
3.4666666667,0.4716637244,27.0243407550
3.5000000000,0.4025182473,23.0625967496
3.5333333333,0.3363428926,19.2710282131
3.5666666667,0.2514232664,14.4054920380
3.6000000000,0.1548244573,8.8707879670
3.6333333333,0.0447525244,2.5641307732
3.6666666667,-0.0378962082,-2.1712927879
3.7000000000,-0.1432201941,-8.2059126621
3.7333333333,-0.2366858914,-13.5611026454
3.7666666667,-0.3010119912,-17.2467166806
3.8000000000,-0.3246341311,-18.6001655984
3.8333333333,-0.4318862588,-24.7452598615
3.8666666667,-0.4578924687,-26.2353059302
3.9000000000,-0.4839565657,-27.7286686818
3.9333333333,-0.4716058191,-27.0210230282
3.9666666667,-0.4529200512,-25.9504073896
4.0000000000,-0.4160949999,-23.8404873700
4.0333333333,-0.3645697419,-20.8883075507
4.0666666667,-0.2903963495,-16.6384852117
4.1000000000,-0.1959029829,-11.2244141138
4.1333333333,-0.1122888717,-6.4336784375
4.1666666667,0.0208084320,1.1922353303
4.2000000000,0.1047440516,6.0013920844
4.2333333333,0.1949637721,11.1706012969
4.2666666667,0.3069952767,17.5895336830
4.3000000000,0.3753373075,21.5052436115
4.3333333333,0.4559006304,26.1211820006
4.3666666667,0.4950789425,28.3659339297
4.4000000000,0.5037442777,28.8624210669
4.4333333333,0.5339033656,30.5904095166
4.4666666667,0.5284955794,30.2805661900
4.5000000000,0.5126056561,29.3701406485
4.5333333333,0.4881917720,27.9713281273
4.5666666667,0.4989148707,28.5857164278
4.6000000000,0.3969746811,22.7449738024
4.6333333333,0.3329891543,19.0788731666
4.6666666667,0.2577691492,14.7690843401
4.7000000000,0.1443454582,8.2703855494
4.7333333333,0.0722517993,4.1397231643
4.7666666667,-0.0237734664,-1.3621192911
4.8000000000,-0.1233371190,-7.0666963762
4.8333333333,-0.2159024180,-12.3702973362
4.8666666667,-0.2898111455,-16.6049554919
4.9000000000,-0.3543158420,-20.3008023592
4.9333333333,-0.3919199660,-22.4553599603
4.9666666667,-0.4354477707,-24.9493194614
5.0000000000,-0.4398601926,-25.2021326094
5.0333333333,-0.4402725539,-25.2257591723
5.0666666667,-0.3972880001,-22.7629256595
5.1000000000,-0.3702825886,-21.2156295559
5.1333333333,-0.2971762786,-17.0269465365
5.1666666667,-0.1902297258,-10.8993604255
5.2000000000,-0.0856373924,-4.9066611535
5.2333333333,-0.0165917723,-0.9506385267
5.2666666667,0.0828860733,4.7490221828
5.3000000000,0.1664901905,9.5391852487
5.3333333333,0.2342071920,13.4190836342
5.3666666667,0.3209797228,18.3907834270
5.4000000000,0.3969359857,22.7427567197
5.4333333333,0.4343471605,24.8862591377
5.4666666667,0.4394909922,25.1809789885
5.5000000000,0.4812226644,27.5720276776
5.5333333333,0.4755941129,27.2495354322
5.5666666667,0.4619670728,26.4687635461
5.6000000000,0.4595469185,26.3300989161
5.6333333333,0.3949323194,22.6279550964
5.6666666667,0.3556723726,20.3785258366
5.7000000000,0.2911390741,16.6810401988
5.7333333333,0.1965976250,11.2642141769
5.7666666667,0.1117190819,6.4010318854
5.8000000000,0.0106195069,0.6084529276
5.8333333333,-0.0418007319,-2.3950055169
5.8666666667,-0.1104408296,-6.3277934248
5.9000000000,-0.2162803142,-12.3919491969
5.9333333333,-0.2798529888,-16.0343951417
5.9666666667,-0.3412438227,-19.5518308243
6.0000000000,-0.3645363059,-20.8863918089
6.0333333333,-0.4378408200,-25.0864310821
6.0666666667,-0.4200530221,-24.0672653397
6.1000000000,-0.4352747261,-24.9394047369
6.1333333333,-0.4116177347,-23.5839589693
6.1666666667,-0.3868953588,-22.1674711701
6.2000000000,-0.3053646155,-17.4961036783
6.2333333333,-0.2692051860,-15.4243209820
6.2666666667,-0.1947723778,-11.1596352130
